work_order_id,equipment_id,date_reported,date_completed,maintenance_type,failure_mode,repair_cost,downtime_days,technician,parts_replaced
WO-029,STR-007,2024-10-15,2024-10-15,Preventive,None,105.00,0.0,TECH-01,None
WO-030,STR-005,2024-10-19,2024-10-19,Preventive,None,115.00,0.0,TECH-02,None
WO-031,CARD-003,2024-10-23,2024-10-25,Corrective,Belt,490.00,2.0,TECH-01,Belt
WO-032,STR-002,2024-10-27,2024-10-29,Corrective,Mechanical,420.00,2.0,TECH-02,Cables
WO-033,STR-001,2024-10-31,2024-10-31,Preventive,None,130.00,0.0,TECH-01,None
WO-034,CARD-004,2024-11-04,2024-11-04,Preventive,None,155.00,0.5,TECH-02,None
WO-035,STR-006,2024-11-08,2024-11-08,Preventive,None,120.00,0.0,TECH-01,None
WO-036,STR-004,2024-11-12,2024-11-12,Preventive,None,125.00,0.0,TECH-02,None
WO-037,CARD-002,2024-11-16,2024-11-16,Preventive,None,165.00,0.5,TECH-01,None
WO-038,STR-008,2024-11-20,2024-11-20,Preventive,None,145.00,0.0,TECH-02,None
WO-039,CARD-001,2024-11-24,2024-11-26,Corrective,Motor,685.00,2.5,TECH-01,Motor
WO-040,STR-003,2024-11-28,2024-11-28,Preventive,None,115.00,0.0,TECH-02,None
WO-041,STR-007,2024-12-02,2024-12-02,Preventive,None,110.00,0.0,TECH-01,None
WO-042,CARD-004,2024-12-06,2024-12-06,Preventive,None,150.00,0.5,TECH-02,None
WO-043,STR-005,2024-12-10,2024-12-10,Preventive,None,120.00,0.0,TECH-01,None
WO-044,CARD-003,2024-12-14,2024-12-16,Corrective,Electrical,525.00,2.0,TECH-02,Display
WO-045,STR-001,2024-12-18,2024-12-18,Preventive,None,135.00,0.0,TECH-01,None
WO-046,CARD-002,2024-12-22,2024-12-22,Preventive,None,175.00,0.5,TECH-02,None
WO-047,STR-006,2024-12-26,2024-12-26,Preventive,None,115.00,0.0,TECH-01,None
WO-048,STR-004,2024-12-30,2024-12-30,Preventive,None,130.00,0.0,TECH-02,None
WO-049,STR-008,2025-01-03,2025-01-03,Preventive,None,150.00,0.0,TECH-01,None
WO-050,CARD-004,2025-01-07,2025-01-07,Preventive,None,160.00,0.5,TECH-02,None
WO-051,STR-002,2025-01-11,2025-01-13,Corrective,Sensor,365.00,2.0,TECH-01,Cables
WO-052,STR-003,2025-01-15,2025-01-15,Preventive,None,120.00,0.0,TECH-02,None
WO-053,CARD-001,2025-01-19,2025-01-21,Corrective,Belt,545.00,2.0,TECH-01,Belt
WO-054,STR-007,2025-01-23,2025-01-23,Preventive,None,105.00,0.0,TECH-02,None
WO-055,CARD-002,2025-01-27,2025-01-27,Preventive,None,170.00,0.5,TECH-01,None
WO-056,STR-005,2025-01-31,2025-01-31,Preventive,None,125.00,0.0,TECH-02,None
WO-057,CARD-003,2025-02-04,2025-02-06,Corrective,Motor,640.00,2.5,TECH-01,Motor
WO-058,STR-001,2025-02-08,2025-02-08,Preventive,None,140.00,0.0,TECH-02,None
WO-059,STR-006,2025-02-12,2025-02-12,Preventive,None,120.00,0.0,TECH-01,None
WO-060,CARD-004,2025-02-16,2025-02-16,Preventive,None,155.00,0.5,TECH-02,None
WO-061,STR-004,2025-02-20,2025-02-20,Preventive,None,125.00,0.0,TECH-01,None
WO-062,STR-008,2025-02-24,2025-02-24,Preventive,None,145.00,0.0,TECH-02,None
WO-063,CARD-002,2025-02-28,2025-02-28,Preventive,None,165.00,0.5,TECH-01,None
WO-064,STR-003,2025-03-04,2025-03-04,Preventive,None,115.00,0.0,TECH-02,None
WO-065,STR-007,2025-03-08,2025-03-08,Preventive,None,110.00,0.0,TECH-01,None
WO-066,CARD-001,2025-03-12,2025-03-14,Corrective,Electrical,595.00,2.0,TECH-02,Cables
WO-067,STR-005,2025-03-16,2025-03-16,Preventive,None,120.00,0.0,TECH-01,None
WO-068,CARD-004,2025-03-20,2025-03-20,Preventive,None,160.00,0.5,TECH-02,None
WO-069,STR-002,2025-03-24,2025-03-26,Corrective,Hydraulic,410.00,2.0,TECH-01,Bearings
WO-070,STR-001,2025-03-28,2025-03-28,Preventive,None,135.00,0.0,TECH-02,None
WO-071,CARD-003,2025-04-01,2025-04-03,Corrective,Sensor,475.00,2.0,TECH-01,Display
WO-072,STR-006,2025-04-05,2025-04-05,Preventive,None,125.00,0.0,TECH-02,None
WO-073,CARD-002,2025-04-09,2025-04-09,Preventive,None,180.00,0.5,TECH-01,None
WO-074,STR-004,2025-04-13,2025-04-13,Preventive,None,130.00,0.0,TECH-02,None
WO-075,STR-008,2025-04-17,2025-04-17,Preventive,None,150.00,0.0,TECH-01,None
WO-076,STR-003,2025-04-21,2025-04-21,Preventive,None,120.00,0.0,TECH-02,None
WO-077,CARD-004,2025-04-25,2025-04-25,Preventive,None,165.00,0.5,TECH-01,None
WO-078,STR-007,2025-04-29,2025-04-29,Preventive,None,105.00,0.0,TECH-02,None
WO-079,CARD-001,2025-05-03,2025-05-05,Corrective,Mechanical,615.00,2.5,TECH-01,Bearings
WO-080,STR-005,2025-05-07,2025-05-07,Preventive,None,125.00,0.0,TECH-02,None
WO-081,CARD-002,2025-05-11,2025-05-11,Preventive,None,175.00,0.5,TECH-01,None
WO-082,STR-001,2025-05-15,2025-05-15,Preventive,None,140.00,0.0,TECH-02,None
WO-083,STR-006,2025-05-19,2025-05-19,Preventive,None,120.00,0.0,TECH-01,None
WO-084,CARD-003,2025-05-23,2025-05-25,Corrective,Belt,510.00,2.0,TECH-02,Belt
WO-085,STR-004,2025-05-27,2025-05-27,Preventive,None,125.00,0.0,TECH-01,None
WO-086,CARD-004,2025-05-31,2025-05-31,Preventive,None,160.00,0.5,TECH-02,None
WO-087,STR-008,2025-06-04,2025-06-04,Preventive,None,155.00,0.0,TECH-01,None
WO-088,STR-003,2025-06-08,2025-06-08,Preventive,None,115.00,0.0,TECH-02,None
WO-089,CARD-002,2025-06-12,2025-06-12,Preventive,None,170.00,0.5,TECH-01,None
WO-090,STR-007,2025-06-16,2025-06-16,Preventive,None,110.00,0.0,TECH-02,None
WO-091,STR-002,2025-06-20,2025-06-22,Corrective,Mechanical,395.00,2.0,TECH-01,Cables
WO-092,STR-005,2025-06-24,2025-06-24,Preventive,None,130.00,0.0,TECH-02,None
WO-093,CARD-001,2025-06-28,2025-06-30,Corrective,Motor,720.00,2.5,TECH-01,Motor
